,Asset_ID,ds,y
154,1051822,2023-11-18,70.0
155,1051822,2023-11-19,0.0
156,1051822,2023-11-19,92.0
157,1051822,2023-11-20,0.0
158,1051822,2023-11-20,59.0
159,1051822,2023-11-21,21.0
160,1051822,2023-11-21,44.0
161,1051822,2023-11-22,0.0
162,1051822,2023-11-22,15.0
163,1051822,2023-11-23,10.0
164,1051822,2023-11-23,1.0
165,1051822,2023-11-24,0.0
166,1051822,2023-11-24,5.0
167,1051822,2023-11-25,11.0
168,1051822,2023-11-25,63.0
169,1051822,2023-11-26,0.0
170,1051822,2023-11-26,88.0
171,1051822,2023-11-27,0.0
172,1051822,2023-11-27,18.0
173,1051822,2023-11-28,0.0
174,1051822,2023-11-28,31.0
175,1051822,2023-11-29,2.0
176,1051822,2023-11-29,4.0
177,1051822,2023-11-30,35.0
178,1051822,2023-11-30,92.0
179,1051822,2023-12-01,30.0
180,1051822,2023-12-01,72.0
181,1051822,2023-12-02,19.0
182,1051822,2023-12-02,69.0
183,1051822,2023-12-03,6.0
184,1051822,2023-12-03,103.0
185,1051822,2023-12-04,11.0
186,1051822,2023-12-04,68.0
187,1051822,2023-12-05,0.0
188,1051822,2023-12-05,37.0
189,1051822,2023-12-06,9.0
190,1051822,2023-12-06,11.0
191,1051822,2023-12-07,0.0
192,1051822,2023-12-07,58.0
193,1051822,2023-12-08,0.0
194,1051822,2023-12-08,66.0
195,1051822,2023-12-09,13.0
196,1051822,2023-12-09,60.0
197,1051822,2023-12-10,0.0
198,1051822,2023-12-10,75.0
199,1051822,2023-12-11,0.0
200,1051822,2023-12-11,4.0
201,1051822,2023-12-12,8.0
202,1051822,2023-12-12,40.0
203,1051822,2023-12-13,0.0
204,1051822,2023-12-13,12.0
205,1051822,2023-12-14,0.0
206,1051822,2023-12-14,33.0
207,1051822,2023-12-15,0.0
208,1051822,2023-12-15,55.0
209,1051822,2023-12-16,44.0
210,1051822,2023-12-16,61.0
211,1051822,2023-12-17,5.0
212,1051822,2023-12-17,59.0
213,1051822,2023-12-18,0.0
214,1051822,2023-12-18,12.0
215,1051822,2023-12-19,0.0
216,1051822,2023-12-19,44.0
217,1051822,2023-12-20,36.0
218,1051822,2023-12-20,12.0
219,1051822,2023-12-21,0.0
220,1051822,2023-12-21,52.0
221,1051822,2023-12-22,0.0
222,1051822,2023-12-22,
223,1051822,2023-12-23,29.0
224,1051822,2023-12-23,80.0
225,1051822,2023-12-24,18.0
226,1051822,2023-12-24,85.0
227,1051822,2023-12-25,43.0
228,1051822,2023-12-25,16.0
229,1051822,2023-12-26,47.0
230,1051822,2023-12-26,15.0
231,1051822,2023-12-27,0.0
232,1051822,2023-12-27,33.0
233,1051822,2023-12-28,0.0
234,1051822,2023-12-28,33.0
235,1051822,2023-12-29,0.0
236,1051822,2023-12-29,30.0
237,1051822,2023-12-30,
238,1051822,2023-12-30,
239,1051822,2023-12-31,27.0
240,1051822,2023-12-31,34.0
241,1051822,2024-01-01,13.0
242,1051822,2024-01-01,28.0
243,1051822,2024-01-02,0.0
244,1051822,2024-01-02,68.0
245,1051822,2024-01-03,0.0
246,1051822,2024-01-03,26.0
247,1051822,2024-01-04,0.0
248,1051822,2024-01-04,59.0
249,1051822,2024-01-05,51.0
250,1051822,2024-01-05,48.0
251,1051822,2024-01-06,24.0
252,1051822,2024-01-06,78.0
253,1051822,2024-01-07,7.0
254,1051822,2024-01-07,38.0
255,1051822,2024-01-08,10.0
256,1051822,2024-01-08,4.0
257,1051822,2024-01-09,12.0
258,1051822,2024-01-09,49.0
259,1051822,2024-01-10,0.0
260,1051822,2024-01-10,52.0
261,1051822,2024-01-11,0.0
262,1051822,2024-01-11,27.0
263,1051822,2024-01-12,0.0
264,1051822,2024-01-12,8.0
265,1051822,2024-01-13,56.0
266,1051822,2024-01-13,57.0
267,1051822,2024-01-14,0.0
268,1051822,2024-01-14,37.0
269,1051822,2024-01-15,0.0
270,1051822,2024-01-15,0.0
271,1051822,2024-01-16,0.0
272,1051822,2024-01-16,43.0
273,1051822,2024-01-17,0.0
274,1051822,2024-01-17,86.0
275,1051822,2024-01-18,5.0
276,1051822,2024-01-18,10.0
277,1051822,2024-01-19,5.0
278,1051822,2024-01-19,30.0
279,1051822,2024-01-20,29.0
280,1051822,2024-01-20,23.0
281,1051822,2024-01-21,8.0
282,1051822,2024-01-21,66.0
283,1051822,2024-01-22,4.0
284,1051822,2024-01-22,17.0
285,1051822,2024-01-23,0.0
286,1051822,2024-01-23,41.0
287,1051822,2024-01-24,5.0
288,1051822,2024-01-24,11.0
289,1051822,2024-01-25,0.0
290,1051822,2024-01-25,5.0
291,1051822,2024-01-26,0.0
292,1051822,2024-01-26,65.0
293,1051822,2024-01-27,17.0
294,1051822,2024-01-27,31.0
295,1051822,2024-01-28,14.0
296,1051822,2024-01-28,7.0
297,1051822,2024-01-29,0.0
298,1051822,2024-01-29,30.0
299,1051822,2024-01-30,5.0
300,1051822,2024-01-30,43.0
301,1051822,2024-01-31,48.0
302,1051822,2024-02-01,18.0
303,1051822,2024-02-02,0.0
304,1051822,2024-02-03,0.0
305,1051822,2024-02-04,0.0
306,1051822,2024-02-05,10.0
307,1051822,2024-02-06,0.0
308,1051822,2024-02-07,0.0
309,1051822,2024-02-08,0.0
310,1051822,2024-02-09,0.0
311,1051822,2024-02-10,43.0
312,1051822,2024-02-11,62.0
313,1051822,2024-02-12,9.0
314,1051822,2024-02-13,43.0
315,1051822,2024-02-14,21.0
316,1051822,2024-02-15,13.0
317,1051822,2024-02-15,0.0
318,1051822,2024-02-16,58.0
319,1051822,2024-02-17,6.0
320,1051822,2024-02-17,48.0
321,1051822,2024-02-18,39.0
322,1051822,2024-02-19,0.0
323,1051822,2024-02-20,0.0
324,1051822,2024-02-21,0.0
325,1051822,2024-02-22,0.0
326,1051822,2024-02-23,0.0
327,1051822,2024-02-24,0.0
328,1051822,2024-02-25,0.0
329,1051822,2024-02-26,0.0
330,1051822,2024-02-27,0.0
331,1051822,2024-02-28,0.0
332,1051822,2024-02-29,53.0
333,1051822,2024-03-01,87.0
334,1051822,2024-03-02,38.0
335,1051822,2024-03-03,64.0
336,1051822,2024-03-04,41.0
337,1051822,2024-03-05,62.0
338,1051822,2024-03-06,26.0
339,1051822,2024-03-07,11.0
340,1051822,2024-03-08,17.0
341,1051822,2024-03-09,63.0
342,1051822,2024-03-10,32.0
343,1051822,2024-03-11,10.0
344,1051822,2024-03-12,49.0
345,1051822,2024-03-13,2.0
346,1051822,2024-03-14,1.0
347,1051822,2024-03-14,35.0
348,1051822,2024-03-15,0.0
349,1051822,2024-03-15,56.0
350,1051822,2024-03-16,30.0
351,1051822,2024-03-16,33.0
352,1051822,2024-03-17,42.0
353,1051822,2024-03-17,46.0
354,1051822,2024-03-18,19.0
355,1051822,2024-03-19,
356,1051822,2024-03-19,38.0
357,1051822,2024-03-20,0.0
358,1051822,2024-03-21,5.0
359,1051822,2024-03-22,27.0
360,1051822,2024-03-23,18.0
361,1051822,2024-03-23,18.0
362,1051822,2024-03-24,14.0
